"","ID","List","Item","Rating","Order","Parenthesis","Modal_Label"
"1","96564","1","1_highlow_no_1","95","High-Low","No","must_probably"
"2","96564","1","2_lowonly_yes_1","100","Low","Yes","must_probably"
"3","96564","1","3_highonly_yes_1","97","High","Yes","must_probably"
"4","96564","1","4_lowhigh_yes_1","92","Low-High","Yes","must_probably"
"5","96564","1","5_highlow_yes_1","87","High-Low","Yes","would_possibly"
"6","96564","1","6_lowonly_no_1","90","Low","No","would_possibly"
"7","96564","1","7_highonly_no_1","100","High","No","would_possibly"
"8","96564","1","8_lowhigh_no_1","77","Low-High","No","would_possibly"
"9","96564","1","9_highlow_no_1","71","High-Low","No","might_probably"
"10","96564","1","10_lowonly_yes_1","84","Low","Yes","might_probably"
"11","96564","1","11_highonly_yes_1","90","High","Yes","might_probably"
"12","96564","1","12_lowhigh_yes_1","79","Low-High","Yes","might_probably"
"13","96564","1","13_highlow_yes_1","92","High-Low","Yes","may_certainly"
"14","96564","1","14_lowonly_no_1","86","Low","No","may_certainly"
"15","96564","1","15_highonly_no_1","100","High","No","may_certainly"
"16","96564","1","16_lowhigh_no_1","98","Low-High","No","may_certainly"
"17","96564","1","17_highlow_no_1","99","High-Low","No","may_definitely"
"18","96564","1","18_lowonly_yes_1","81","Low","Yes","may_definitely"
"19","96564","1","19_highonly_yes_1","94","High","Yes","may_definitely"
"20","96564","1","20_lowhigh_yes_1","92","Low-High","Yes","may_definitely"
"21","96564","1","21_highlow_yes_1","68","High-Low","Yes","might_definitely"
"22","96564","1","22_lowonly_no_1","94","Low","No","might_definitely"
"23","96564","1","23_highonly_no_1","100","High","No","might_definitely"
"24","96564","1","24_lowhigh_no_1","94","Low-High","No","might_definitely"
"25","96564","1","25_highlow_no_1","100","High-Low","No","might_certainly"
"26","96564","1","26_lowonly_yes_1","90","Low","Yes","might_certainly"
"27","96564","1","27_highonly_yes_1","93","High","Yes","might_certainly"
"28","96564","1","28_lowhigh_yes_1","98","Low-High","Yes","might_certainly"
"29","96564","1","29_highlow_yes_1","91","High-Low","Yes","must_possibly"
"30","96564","1","30_lowonly_no_1","98","Low","No","must_possibly"
"31","96564","1","31_highonly_no_1","95","High","No","must_possibly"
"32","96564","1","32_lowhigh_no_1","97","Low-High","No","must_possibly"
"33","96564","1","F1","96",NA,NA,"NA"
"34","96564","1","F2","3",NA,NA,"NA"
"35","96564","1","F3","10",NA,NA,"NA"
"36","96564","1","F4","99",NA,NA,"NA"
"37","96564","1","F5","0",NA,NA,"NA"
"38","96564","1","F6","3",NA,NA,"NA"
"39","96564","1","F7","96",NA,NA,"NA"
"40","96564","1","F8","90",NA,NA,"NA"
"41","96564","1","F9","94",NA,NA,"NA"
"42","96564","1","F10","0",NA,NA,"NA"
"43","96564","1","F11","2",NA,NA,"NA"
"44","96564","1","F12","100",NA,NA,"NA"
"45","96564","1","F13","78",NA,NA,"NA"
"46","96564","1","F14","100",NA,NA,"NA"
"47","96564","1","F15","5",NA,NA,"NA"
"48","96564","1","F16","22",NA,NA,"NA"
"49","96564","1","F17","7",NA,NA,"NA"
"50","96564","1","F18","47",NA,NA,"NA"
"51","96564","1","F19","84",NA,NA,"NA"
"52","96564","1","F20","96",NA,NA,"NA"
