"Revised.Stimuli","modals","order","parenthesis","ID","NewID","List"
"""Do you know where Janet is? The boss is looking for her."" ""Janet is probably using the restroom."" How likely is it that Janet is using the restroom?","must/probably","lowonly","no","1","1_lowonly_no","4"
"""The train is stopping. Where are we now?"" ""We must be around Richmond."" How likely is it that the passengers are around Richmond?","must/probably","highonly","no","2","2_highonly_no","4"
"""Whose car is this? I haven't seen it before."" ""The car probably must be Professor Murray's."" How likely is it that the car is Professor Murray's?","must/probably","lowhigh","no","3","3_lowhigh_no","4"
"""How much is Claudia's new purse?"" ""Her purse must probably be over a hundred dollars."" How likely is it that Claudia's new purse costs over a hundred dollars?","must/probably","highlow","no","4","4_highlow_no","4"
"""Where is my green cap?"" ""Your cap, the new janitor suggested, is possibly in the basement."" How likely is it that the cap is in the basement?","would/possibly","lowonly","yes","5","5_lowonly_yes","4"
"""Whose hat is this?"" ""That hat, the cleaner said, would be Miss Swift's."" How likely is it that the hat is Miss Swift's?","would/possibly","highonly","yes","6","6_highonly_yes","4"
"""Where is my red pen?"" ""Your pen possibly, after we reorganized the office yesterday, would be in the yellow pencil box."" How likely is it that the red pen is in the yellow pencil box?","would/possibly","lowhigh","yes","7","7_lowhigh_yes","4"
"""What will the weather be like if you travel to Taipei tomorrow?"" ""The weather would, according to the forecast, possibly be windy."" How likely is it that the weather in Taipei tomorrow will be windy?","would/possibly","highlow","yes","8","8_highlow_yes","4"
"""Where is my blue shirt?"" ""Your shirt might be in the bottom drawer of the dresser."" How likely is it that the blue shirt is in the bottom drawer of the dresser?","probably/might","lowonly","no","9","9_lowonly_no","4"
"""What time is it now?"" ""It is probably around 6 o'clock."" How likely is it that it's around 6 o'clock?","probably/might","highonly","no","10","10_highonly_no","4"
"""Who is the man over there? I can't see him clearly."" ""The man might probably be Mr. Gomes."" How likely is it that the man is Mr. Gomes?","probably/might","lowhigh","no","11","11_lowhigh_no","4"
"""What does Henry do for work now?"" ""Henry probably might work at a coffee shop."" How likely is it that Henry works in a coffee shop?","probably/might","highlow","no","12","12_highlow_no","4"
"""Why didn't Tom tell Julia about that incident? Did he forget it?"" ""Tom, as you suggested, may have forgotten."" How likely is it that Tom has forgotten?","certainly/may","lowonly","yes","13","13_lowonly_yes","4"
"""What is in that box, some stationery?"" ""The box, the postman said, certainly contains some stationery."" How likely is it that some stationery is in the box?","certainly/may","highonly","yes","14","14_highonly_yes","4"
"""Whose bike is it? I haven't seen it before."" ""The bike may, according to its stylish design, certainly be Michael's."" How likely is it that the bike is Michael's?","certainly/may","lowhigh","yes","15","15_lowhigh_yes","4"
"""Where is Bob? His mother is looking for him."" ""Bob certainly, the neighbour suggested, may be in the candy shop."" How likely is it that Bob is in the candy shop?","certainly/may","highlow","yes","16","16_highlow_yes","4"
"""What will mom buy from the supermarket? Some seafood?"" ""Your mother may buy some seafood.""How likely is it that mom will buy some seafood from the supermarket?","definitely/may","lowonly","no","17","17_lowonly_no","4"
"""Tom is not happy these days. Does that have something to do with the election?"" ""The election definitely made him unhappy."" How likely is it that Tom is not happy because of the election?","definitely/may","highonly","no","18","18_highonly_no","4"
"""This soup tastes weird. Does it have star anise?"" ""The soup may definitely have some star anise in it."" How likely is it that the soup has some star anise in it?","definitely/may","lowhigh","no","19","19_lowhigh_no","4"
"""The apple pie tastes very good. Where did Jane get the recipe? From her mom?"" ""Jane definitely may have gotten the recipe from her mom."" How likely is it that Jane got the apple pie recipe from her mom?","definitely/may","highlow","no","20","20_highlow_no","4"
"""Anna's new hairstyle looks very pretty. Where did she get her hair cut? From the new salon downtown?"" ""Anna, her friends say, might have gotten her hair cut from the new salon downtown."" How likely is it that Anna got her new hairstyle from the new salon downtown?","definitely/might","lowonly","yes","21","21_lowonly_yes","4"
"""Jackson didn't come to school this morning. Did he go out drinking last night?"" ""Jackson, according to what I heard, definitely went out drinking last night."" How likely is it that Jackson drank some alcohol last night?","definitely/might","highonly","yes","22","22_highonly_yes","4"
"""Ellen has moved to a new place. Is it because of the problem with her neighbour?"" ""The problem might, I think, be the reason she moved."" How likely is it that Ellen moved to a new place due to the problem she has with her neighbour?","definitely/might","lowhigh","yes","23","23_lowhigh_yes","4"
"""Bob hasn't arrived yet. Do you think he hit traffic on his way home?"" ""Bob definitely, according to the radio, might have hit traffic on his way home."" How likely is it that there is traffic on Bob's way home?","definitely/might","highlow","yes","24","24_highlow_yes","4"
"""Angelica is very happy these days. Is it because of her brother's wedding?"" ""Angelica might be happy for her brother's wedding."" How likely is it that Angelica is happy because of her brother's wedding?","certainly/might","lowonly","no","25","25_lowonly_no","4"
"""Miss Williams looks very tired these days. Is it because of her term project?"" ""Miss Williams is certainly tired due to her term project."" How likely is it that Miss Williams looks tired because of her term project?","certainly/might","highonly","no","26","26_highonly_no","4"
"""Chris looks worried these days. Is it because of her father's illness?"" ""Chris might certainly look worried due to her father's illness."" How likely is it that Chris looks worried because of his father's illness?","certainly/might","lowhigh","no","27","27_lowhigh_no","4"
