"Revised.Stimuli","modals","order","parenthesis","ID","NewID","List"
"""Do you know where Janet is? The boss is looking for her."" ""Janet, the manager said, must be using the restroom."" How likely is it that Janet is using the restroom?","must/probably","highonly","yes","1","1_highonly_yes","7"
"""The train is stopping. Where are we now?"" ""We probably, according to the announcement, must be around Richmond."" How likely is it that the passengers are around Richmond?","must/probably","lowhigh","yes","2","2_lowhigh_yes","7"
"""Whose car is this? I haven't seen it before."" ""The car must, based on what I heard, probably be Professor Murray's."" How likely is it that the car is Professor Murray's?","must/probably","highlow","yes","3","3_highlow_yes","7"
"""How much is Claudia's new purse?"" ""Her purse is probably over a hundred dollars."" How likely is it that Claudia's new purse costs over a hundred dollars?","must/probably","lowonly","no","4","4_lowonly_no","7"
"""Where is my green cap?"" ""Your cap would be in the basement."" How likely is it that the cap is in the basement?","would/possibly","highonly","no","5","5_highonly_no","7"
"""Whose hat is this?"" ""That hat possibly would be Miss Swift's."" How likely is it that the hat is Miss Swift's?","would/possibly","lowhigh","no","6","6_lowhigh_no","7"
"""Where is my red pen?"" ""Your pen would possibly be in the yellow pencil box."" How likely is it that the red pen is in the yellow pencil box?","would/possibly","highlow","no","7","7_highlow_no","7"
"""What will the weather be like if you travel to Taipei tomorrow?"" ""The weather, according to the forecast, is possibly windy."" How likely is it that the weather in Taipei tomorrow will be windy?","would/possibly","lowonly","yes","8","8_lowonly_yes","7"
"""Where is my blue shirt?"" ""Your shirt, our mom said, is probably in the bottom drawer of the dresser."" How likely is it that the blue shirt is in the bottom drawer of the dresser?","probably/might","highonly","yes","9","9_highonly_yes","7"
"""What time is it now?"" ""It might, I guess, probably be around 6 o'clock."" How likely is it that it's around 6 o'clock?","probably/might","lowhigh","yes","10","10_lowhigh_yes","7"
"""Who is the man over there? I can't see him clearly."" ""The man probably, based on the way he dresses, might be Mr. Gomes."" How likely is it that the man is Mr. Gomes?","probably/might","highlow","yes","11","11_highlow_yes","7"
"""What does Henry do for work now?"" ""Henry might work at a coffee shop."" How likely is it that Henry works in a coffee shop?","probably/might","lowonly","no","12","12_lowonly_no","7"
"""Why didn't Tom tell Julia about that incident? Did he forget it?"" ""Tom certainly has forgotten."" How likely is it that Tom has forgotten?","certainly/may","highonly","no","13","13_highonly_no","7"
"""What is in that box, some stationery?"" ""The box may certainly contain some stationary."" How likely is it that some stationery is in the box?","certainly/may","lowhigh","no","14","14_lowhigh_no","7"
"""Whose bike is it? I haven't seen it before."" ""The bike certainly may be Michael's."" How likely is it that the bike is Michael's?","certainly/may","highlow","no","15","15_highlow_no","7"
"""Where is Bob? His mother is looking for him."" ""Bob, the neighbour suggested, may be in the candy shop."" How likely is it that Bob is in the candy shop?","certainly/may","lowonly","yes","16","16_lowonly_yes","7"
"""What will mom buy from the supermarket? Some seafood?"" ""Your mother, I think, will definitely buy some seafood.""How likely is it that mom will buy some seafood from the supermarket?","definitely/may","highonly","yes","17","17_highonly_yes","7"
"""Tom is not happy these days. Does that have something to do with the election?"" ""The election may, as his partner mentioned, definitely have made him unhappy."" How likely is it that Tom is not happy because of the election?","definitely/may","lowhigh","yes","18","18_lowhigh_yes","7"
"""This soup tastes weird. Does it have star anise?"" ""The soup definitely, based on my experience, may have some star anise in it."" How likely is it that the soup has some star anise in it?","definitely/may","highlow","yes","19","19_highlow_yes","7"
"""The apple pie tastes very good. Where did Jane get the recipe? From her mom?"" ""Jane may have gotten the recipe from her mom."" How likely is it that Jane got the apple pie recipe from her mom?","definitely/may","lowonly","no","20","20_lowonly_no","7"
"""Anna's new hairstyle looks very pretty. Where did she get her hair cut? From the new salon downtown?"" ""Anna definitely got her hair cut from the new salon downtown."" How likely is it that Anna got her new hairstyle from the new salon downtown?","definitely/might","highonly","no","21","21_highonly_no","7"
"""Jackson didn't come to school this morning. Did he go out drinking last night?"" ""Jackson might definitely have gone out drinking last night."" How likely is it that Jackson drank some alcohol last night?","definitely/might","lowhigh","no","22","22_lowhigh_no","7"
"""Ellen has moved to a new place. Is it because of the problem with her neighbour?"" ""The problem definitely might be the reason she moved."" How likely is it that Ellen moved to a new place due to the problem she has with her neighbour?","definitely/might","highlow","no","23","23_highlow_no","7"
"""Bob hasn't arrived yet. Do you think he hit traffic on his way home?"" ""Bob, according to the radio, might have hit traffic on his way home."" How likely is it that there is traffic on Bob's way home?","definitely/might","lowonly","yes","24","24_lowonly_yes","7"
"""Angelica is very happy these days. Is it because of her brother's wedding?"" ""Angelica, if I'm not mistaken, certainly is happy for her brother's wedding."" How likely is it that Angelica is happy because of her brother's wedding?","certainly/might","highonly","yes","25","25_highonly_yes","7"
"""Miss Williams looks very tired these days. Is it because of her term project?"" ""Miss Williams might, according to her professor, certainly be tired due to her term project."" How likely is it that Miss Williams looks tired because of her term project?","certainly/might","lowhigh","yes","26","26_lowhigh_yes","7"
"""Chris looks worried these days. Is it because of her father's illness?"" ""Chris certainly, I would say, might look worried due to her father's illness."" How likely is it that Chris looks worried because of his father's illness?","certainly/might","highlow","yes","27","27_highlow_yes","7"
"""Jason has been absent for two days. I wonder if he has caught a flu like his father did?"" ""Jason might have a flu."" How likely is it that Jason has caught a flu?","certainly/might","lowonly","no","28","28_lowonly_no","7"
"""I feel very sick. Is it because of the sushi I ate tonight?"" ""Something must have been wrong with the sushi you ate."" How likely is it that the sushi makes the speaker feel sick?","possibly/must","highonly","no","29","29_highonly_no","7"
"""The house smells very bad. Is there something rotten here?"" ""The smell possibly must be from something rotting in the house."" How likely is it that something is rotting in the house?","possibly/must","lowhigh","no","30","30_lowhigh_no","7"
"""The water is very cold. I think that boiler doesn't work very well."" ""Something must possibly be wrong with the boiler."" How likely is it that the boiler does not work well?","possibly/must","highlow","no","31","31_highlow_no","7"
"""I cannot reach Peter. Do you think he has left his phone in his office again?"" ""Peter, according to his boss, possibly has left his phone in his office."" How likely is it that Peter lost his phone in his office?","possibly/must","lowonly","yes","32","32_lowonly_yes","7"
"""Do you know if the professor has any copies of the previous exam papers?"" ""The professor had, according to his assistant, at least five folders of previous exam papers in his locker.""How likely is it that the professor kept some copies of the previous exam papers?","Filler","Filler","Filler","F_1","F_1","NA"
"""Do you think the manager will be in his office later today?"" ""The manager has, according to his secretary, been on vacation since yesterday, and he is in Paris now."" How likely is it that the manager will be in his office later today?","Filler","Filler","Filler","F_2","F_2","NA"
"""Will the upcoming midterm be hard?"" ""The upcoming midterm should, according to the lecturer, allow most of the students to get an A."" How likely is it that the coming midterm will be hard?","Filler","Filler","Filler","F_3","F_3","NA"
