"Revised.Stimuli","modals","order","parenthesis","ID","NewID","List"
"""Do you know where Janet is? The boss is looking for her."" ""Janet must be using the restroom."" How likely is it that Janet is using the restroom?","must/probably","highonly","no","1","1_highonly_no","3"
"""The train is stopping. Where are we now?"" ""We probably must be around Richmond."" How likely is it that the passengers are around Richmond?","must/probably","lowhigh","no","2","2_lowhigh_no","3"
"""Whose car is this? I haven't seen it before."" ""The car must probably be Professor Murray's."" How likely is it that the car is Professor Murray's?","must/probably","highlow","no","3","3_highlow_no","3"
"""How much is Claudia's new purse?"" ""Her purse, I would say, is probably over a hundred dollars."" How likely is it that Claudia's new purse costs over a hundred dollars?","must/probably","lowonly","yes","4","4_lowonly_yes","3"
"""Where is my green cap?"" ""Your cap, the new janitor suggested, would be in the basement."" How likely is it that the cap is in the basement?","would/possibly","highonly","yes","5","5_highonly_yes","3"
"""Whose hat is this?"" ""That hat possibly, the cleaner said, would be Miss Swift's."" How likely is it that the hat is Miss Swift's?","would/possibly","lowhigh","yes","6","6_lowhigh_yes","3"
"""Where is my red pen?"" ""Your pen would, after we reorganized the office yesterday, possibly be in the yellow pencil box."" How likely is it that the red pen is in the yellow pencil box?","would/possibly","highlow","yes","7","7_highlow_yes","3"
"""What will the weather be like if you travel to Taipei tomorrow?"" ""The weather possibly is windy."" How likely is it that the weather in Taipei tomorrow will be windy?","would/possibly","lowonly","no","8","8_lowonly_no","3"
"""Where is my blue shirt?"" ""Your shirt is probably in the bottom drawer of the dresser."" How likely is it that the blue shirt is in the bottom drawer of the dresser?","probably/might","highonly","no","9","9_highonly_no","3"
"""What time is it now?"" ""It might probably be around 6 o'clock."" How likely is it that it's around 6 o'clock?","probably/might","lowhigh","no","10","10_lowhigh_no","3"
"""Who is the man over there? I can't see him clearly."" ""The man probably might be Mr. Gomes."" How likely is it that the man is Mr. Gomes?","probably/might","highlow","no","11","11_highlow_no","3"
"""What does Henry do for work now?"" ""Henry, I have heard, might work at a coffee shop."" How likely is it that Henry works in a coffee shop?","probably/might","lowonly","yes","12","12_lowonly_yes","3"
"""Why didn't Tom tell Julia about that incident? Did he forget it?"" ""Tom, as you suggested, certainly has forgotten."" How likely is it that Tom has forgotten?","certainly/may","highonly","yes","13","13_highonly_yes","3"
"""What is in that box, some stationery?"" ""The box may, the postman said, certainly contain some stationery."" How likely is it that some stationery is in the box?","certainly/may","lowhigh","yes","14","14_lowhigh_yes","3"
"""Whose bike is it? I haven't seen it before."" ""The bike certainly, according to its stylish design, may be Michael's. "" How likely is it that the bike is Michael's?","certainly/may","highlow","yes","15","15_highlow_yes","3"
"""Where is Bob? His mother is looking for him."" ""Bob may be in the candy shop."" How likely is it that Bob is in the candy shop?","certainly/may","lowonly","no","16","16_lowonly_no","3"
"""What will mom buy from the supermarket? Some seafood?"" ""Your mother will definitely buy some seafood.""How likely is it that mom will buy some seafood from the supermarket?","definitely/may","highonly","no","17","17_highonly_no","3"
"""Tom is not happy these days. Does that have something to do with the election?"" ""The election may definitely have made him unhappy."" How likely is it that Tom is not happy because of the election?","definitely/may","lowhigh","no","18","18_lowhigh_no","3"
"""This soup tastes weird. Does it have star anise?"" ""The soup definitely may have some star anise in it."" How likely is it that the soup has some star anise in it?","definitely/may","highlow","no","19","19_highlow_no","3"
"""The apple pie tastes very good. Where did Jane get the recipe? From her mom?"" ""Jane, as far as I know, may have gotten the recipe from her mom."" How likely is it that Jane got the apple pie recipe from her mom?","definitely/may","lowonly","yes","20","20_lowonly_yes","3"
"""Anna's new hairstyle looks very pretty. Where did she get her hair cut? From the new salon downtown?"" ""Anna, her friends say, definitely got her hair cut from the new salon downtown."" How likely is it that Anna got her new hairstyle from the new salon downtown?","definitely/might","highonly","yes","21","21_highonly_yes","3"
"""Jackson didn't come to school this morning. Did he go out drinking last night?"" ""Jackson might, according to what I heard, definitely have gone out drinking last night."" How likely is it that Jackson drank some alcohol last night?","definitely/might","lowhigh","yes","22","22_lowhigh_yes","3"
"""Ellen has moved to a new place. Is it because of the problem with her neighbour?"" ""The problem definitely, I think, might be the reason she moved."" How likely is it that Ellen moved to a new place due to the problem she has with her neighbour?","definitely/might","highlow","yes","23","23_highlow_yes","3"
"""Bob hasn't arrived yet. Do you think he hit traffic on his way home?"" ""Bob might have hit traffic on his way home."" How likely is it that there is traffic on Bob's way home?","definitely/might","lowonly","no","24","24_lowonly_no","3"
"""Angelica is very happy these days. Is it because of her brother's wedding?"" ""Angelica certainly is happy for her brother's wedding."" How likely is it that Angelica is happy because of her brother's wedding?","certainly/might","highonly","no","25","25_highonly_no","3"
"""Miss Williams looks very tired these days. Is it because of her term project?"" ""Miss Williams might certainly be tired due to her term project."" How likely is it that Miss Williams looks tired because of her term project?","certainly/might","lowhigh","no","26","26_lowhigh_no","3"
"""Chris looks worried these days. Is it because of her father's illness?"" ""Chris certainly might look worried due to her father's illness."" How likely is it that Chris looks worried because of his father's illness?","certainly/might","highlow","no","27","27_highlow_no","3"
"""Jason has been absent for two days. I wonder if he has caught a flu like his father did?"" ""Jason, according to his girlfriend, might have a flu."" How likely is it that Jason has caught a flu?","certainly/might","lowonly","yes","28","28_lowonly_yes","3"
"""I feel very sick. Is it because of the sushi I ate tonight?"" ""Something, as far as I am concerned, must be wrong with the sushi you ate."" How likely is it that the sushi makes the speaker feel sick?","possibly/must","highonly","yes","29","29_highonly_yes","3"
"""The house smells very bad. Is there something rotten here?"" ""The smell possibly, I think, must be from something rotting in the house."" How likely is it that something is rotting in the house?","possibly/must","lowhigh","yes","30","30_lowhigh_yes","3"
